abashment	 abashment, bashfulness 
heartlessness	 heartlessly 
heartlessness	 heartlessness, coldheartedness, hardheartedness 
heavyheartedness	 heavyhearted 
heavyheartedness	 heavyheartedness 
helplessness	 helplessness 
hero-worship	 hero_worship 
hesitance	 hesitance, hesitancy 
hesitance	 hesitantly, hesitatingly 
hilarity	 hilarious, screaming(a), uproarious 
hilarity	 hilariously, uproariously 
hilarity	 hilarity, mirth, mirthfulness, glee, gleefulness 
hope	 Democrat 
hope	 acquit, assoil, clear, discharge, exonerate, exculpate 
hope	 ahead 
hope	 aid, assist, assistance, help 
hope	 animation, life, living, aliveness 
hope	 antibiotic 
hope	 antidepressant, antidepressant_drug 
hope	 backsliding, lapse, lapsing, relapse, relapsing, reversion, reverting 
hope	 believe 
hope	 biography, life, life_story, life_history 
hope	 black, bleak, dim 
hope	 bleakly 
hope	 bucked_up(p), encouraged 
hope	 chew_over, think_over, meditate, ponder, excogitate, contemplate, muse, reflect, mull, mull_over, ruminate, speculate 
hope	 clue, clew, cue 
hope	 comfort, ease 
hope	 committed 
hope	 concede, profess, confess 
hope	 construct, build, make 
hope	 credible, believable 
hope	 dedicated 
hope	 democrat, populist 
hope	 discovery, breakthrough, find 
hope	 donor, giver, presenter, bestower, conferrer 
hope	 dwelling, home, domicile, abode, habitation, dwelling_house 
hope	 encourage 
hope	 encouragement 
hope	 encouraging 
hope	 encouragingly 
hope	 exalted, sublime, grand, high-flown, high-minded, lofty, rarefied, rarified, idealistic, noble-minded 
hope	 facilitate, ease, alleviate 
hope	 favored, fortunate, golden 
hope	 fortune, destiny, fate, luck, lot, circumstances, portion 
hope	 freedom 
hope	 gain, take_in, clear, make, earn, realize, realise, pull_in, bring_in 
hope	 give_birth, deliver, bear, birth, have 
hope	 gold, golden, gilded 
hope	 helm 
hope	 help, assist, aid 
hope	 hope 
hope	 hope 
hope	 hope 
hope	 hope, go_for 
hope	 hopeful 
hope	 hopefully 
hope	 hopefully 
hope	 hopefulness 
hope	 leader 
hope	 life, lifetime, life-time, lifespan 
hope	 optimism 
hope	 optimistic 
hope	 optimistically 
hope	 probability, chance 
hope	 proper, right, suitable, suited 
hope	 remedy, curative, cure, therapeutic 
hope	 sanguine 
hope	 sanguinity, sanguineness 
hope	 shelter 
hope	 support 
hope	 support 
hope	 support 
hope	 support 
hope	 support 
hope	 support, financial_support, funding, backing, financial_backing 
hope	 supportive 
hope	 survive, last, live, live_on, go, endure, hold_up, hold_out 
hope	 university 
hope	 vaccine, vaccinum 
hopefulness	 hope 
hopefulness	 hopeful 
hopefulness	 hopefully 
hopefulness	 hopefully 
hopefulness	 hopefulness 
hopelessness	 dispiritedly, hopelessly 
hopelessness	 hopeless 
hopelessness	 hopelessly 
hopelessness	 hopelessness 
horror	 atrocious, frightful, horrifying, horrible, ugly 
horror	 awful, dire, direful, dread(a), dreaded, dreadful, fearful, fearsome, frightening, horrendous, horrific, terrible 
horror	 dismay, alarm, appal, appall, horrify 
horror	 dreadfully, awfully, horribly 
horror	 hideous, horrid, horrific, outrageous 
horror	 hideously, horridly, monstrously 
horror	 horrified, horror-stricken, horror-struck 
horror	 horrifyingly 
horror	 horror 
hostility	 belligerently, hostilely, with_hostility 
hostility	 hostile 
hostility	 hostile 
hostility	 hostility, enmity, ill_will 
huffiness	 huffily 
huffiness	 huffiness 
huffiness	 huffy, mad, sore 
humility	 demeaning, humbling, humiliating, mortifying 
humility	 embarrassed, humiliated, mortified 
humility	 humiliate, mortify, chagrin, humble, abase 
humility	 humiliatingly, demeaningly 
humility	 humility, humbleness 
hysteria	 hysteria 
hysteria	 hysterical 
hysteria	 hysterically 
identification	 identify 
identification	 recognition, identification 
impatience	 impatience 
impatience	 impatient 
impatience	 impatient(p), raring(p) 
impatience	 impatiently, with_impatience 
indifference	 apathetic, indifferent 
indifference	 indifference 
indifference	 indifferent 
indifference	 indifferently 
indignation	 indignantly 
indignation	 indignation, outrage 
infuriation	 angered, enraged, furious, infuriated, maddened 
infuriation	 exasperating, infuriating, maddening, vexing 
infuriation	 furiously 
infuriation	 infuriate, exasperate, incense 
infuriation	 infuriation, enragement 
ingratitude	 ingratitude, ungratefulness 
insecurity	 insecure 
insecurity	 insecurely 
insecurity	 insecurity 
irascibility	 choleric, irascible 
irascibility	 irascibility, short_temper, spleen, quick_temper 
isolation	 detached, isolated, separated, set-apart 
isolation	 isolation 
jealousy	 covetous, envious, jealous 
jealousy	 enviously, covetously, jealously 
jealousy	 jealous, green-eyed, overjealous 
jealousy	 jealously 
jealousy	 jealousy, green-eyed_monster 
jitteriness	 edgy, high-strung, highly_strung, in_suspense(p), jittery, jumpy, nervy, overstrung, restive, uptight 
jitteriness	 jitteriness, jumpiness, nervousness, restiveness 
jocundity	 jocundity, jocularity 
jollity	 gay, jocund, jolly, jovial, merry, mirthful 
jollity	 jollity, jolliness, joviality 
jollity	 kid, chaff, jolly, josh, banter 
joy	 agreeableness, amenity 
joy	 alive(p), live 
joy	 appreciated, gratifying, pleasing, satisfying 
joy	 ardor, ardour, elan, zeal 
joy	 athirst(p), hungry(p), thirsty(p) 
joy	 attraction, attractiveness 
joy	 bang, boot, charge, rush, flush, thrill, kick 
joy	 be_born 
joy	 beaming, glad 
joy	 belly_laugh, sidesplitter, howler, thigh-slapper, scream, wow, riot 
joy	 belonging 
joy	 blithe, blithesome, lighthearted, lightsome, light-hearted 
joy	 bonheur 
joy	 boutique, dress_shop 
joy	 buoyancy, perkiness 
joy	 carefree, unworried 
joy	 carefreeness, insouciance, lightheartedness, lightsomeness 
joy	 cartoon, sketch 
joy	 celebration, festivity 
joy	 cheer 
joy	 cheer, cheer_up, chirk_up 
joy	 cheer, cheer_up, jolly_along, jolly_up 
joy	 cheer, hearten, recreate, embolden 
joy	 cheer, inspire, urge, barrack, urge_on, exhort, pep_up 
joy	 cheerful 
joy	 cheerful, pollyannaish, upbeat 
joy	 cheerfully 
joy	 cheerfulness, blitheness 
joy	 cheerfulness, cheer, sunniness, sunshine 
joy	 close 
joy	 closeness, intimacy 
joy	 comedy 
joy	 comfort, soothe, console, solace 
joy	 comfortable 
joy	 comfortableness 
joy	 comfortably 
joy	 comforting, cheering, satisfying 
joy	 complacency, complacence, self-complacency, self-satisfaction 
joy	 complacent, self-satisfied, self-complacent 
joy	 content 
joy	 content 
joy	 contented, content 
joy	 contentment 
joy	 cruise, sail 
joy	 eager 
joy	 eagerly, thirstily 
joy	 eagerness, avidity, avidness, keenness 
joy	 ebullient, exuberant, high-spirited 
joy	 ebulliently, exuberantly, expansively 
joy	 elate, lift_up, uplift, pick_up, intoxicate 
joy	 elated 
joy	 elated, gleeful, joyful, jubilant 
joy	 elated, gleeful, joyful, jubilant 
joy	 elating, exhilarating 
joy	 elation, high_spirits, lightness 
joy	 enjoy 
joy	 enter, come_in, get_into, get_in, go_into, go_in, move_into 
joy	 entertainment, amusement 
joy	 enthusiasm 
joy	 enthusiastic 
joy	 enthusiastically 
joy	 euphoria, euphory 
joy	 euphoriant 
joy	 euphoric 
joy	 exciting 
joy	 exhilarate, inebriate, thrill, exalt, beatify 
joy	 exhilarating, stimulating 
joy	 exhilaration, excitement 
joy	 expansive 
joy	 exuberance 
joy	 exuberant, lush, luxuriant, profuse, riotous 
joy	 exuberantly, riotously 
joy	 exuberate, exult, rejoice, triumph, jubilate 
joy	 exult, walk_on_air, be_on_cloud_nine, jump_for_joy 
joy	 exultant, exulting, jubilant, prideful, rejoicing, triumphal, triumphant 
joy	 exultantly, exultingly 
joy	 exultation, jubilance, jubilancy, jubilation 
joy	 festival, fete 
joy	 fortuitous 
joy	 fortunate 
joy	 fortunately, fortuitously, luckily, as_luck_would_have_it 
joy	 fulfillment, fulfilment 
joy	 fun, play, sport 
joy	 game 
joy	 gay, festal, festive, merry 
joy	 gay, jocund, jolly, jovial, merry, mirthful 
joy	 glad 
joy	 glad 
joy	 gladden 
joy	 gladden, joy 
joy	 gladden, joy 
joy	 gladdened, exhilarated 
joy	 gladness, gladfulness, gladsomeness 
joy	 gladsome 
joy	 gleefully, joyously, joyfully 
joy	 gleefully, joyously, joyfully 
joy	 gloat, gloating, glee 
joy	 gloatingly 
joy	 gorgeous 
joy	 gratification, satisfaction 
joy	 gratifyingly, satisfyingly 
joy	 gusto, relish, zest, zestfulness 
joy	 gymnasium, gym 
joy	 happily, merrily, mirthfully, gayly, blithely, jubilantly, with_happiness 
joy	 happiness 
joy	 happy 
joy	 hilarious, screaming(a), uproarious 
joy	 hilariously, uproariously 
joy	 hilarity, mirth, mirthfulness, glee, gleefulness 
joy	 impenitent, unrepentant, unremorseful 
joy	 impenitently, unrepentantly 
joy	 jocundity, jocularity 
joy	 joke, jest 
joy	 jollity, jolliness, joviality 
joy	 joy, joyousness, joyfulness 
joy	 joy, joyousness, joyfulness 
joy	 joyful 
joy	 joyful 
joy	 joyless 
joy	 joylessly 
joy	 joylessness 
joy	 joyous 
joy	 kid, chaff, jolly, josh, banter 
joy	 landmark 
joy	 laugh, express_joy, express_mirth 
joy	 liquid_body_substance, bodily_fluid, body_fluid, humor, humour 
joy	 living 
joy	 lucky 
joy	 meet, satisfy, fill, fulfill, fulfil 
joy	 movie, film, picture, moving_picture, moving-picture_show, motion_picture, motion-picture_show, picture_show, pic, flick 
joy	 musician, instrumentalist, player 
joy	 near, nigh, close 
joy	 pleased, proud_of(p) 
joy	 pond, pool 
joy	 preen, congratulate 
joy	 pride 
joy	 pride, plume, congratulate 
joy	 pride, pridefulness 
joy	 promote, advance, boost, further, encourage 
joy	 proud 
joy	 proudly, with_pride 
joy	 rejoice, joy 
joy	 rejoicing 
joy	 relax, loosen_up 
joy	 satiable, satisfiable 
joy	 satisfaction 
joy	 satisfactorily 
joy	 satisfactory 
joy	 satisfied 
joy	 satisfy, fulfill, fulfil, live_up_to 
joy	 satisfy, gratify 
joy	 sexual_activity, sexual_practice, sex, sex_activity 
joy	 show 
joy	 smug, self-satisfied 
joy	 smugness 
joy	 story 
joy	 success 
joy	 superintendent, super 
joy	 teased, titillated 
joy	 titillate 
joy	 titillating 
joy	 titillation 
joy	 togetherness 
joy	 triumph 
joy	 triumphantly 
joy	 uninjured 
joy	 unregretful, unregretting 
joy	 victory, triumph 
joy	 wallow, rejoice, triumph 
joy-pride	 pride, plume, congratulate 
joy-pride	 pride, pridefulness 
joy-pride	 proud 
joylessness	 joyless 
joylessness	 joylessly 
joylessness	 joylessness 
kindheartedness	 kindhearted, kind-hearted 
kindheartedness	 kindheartedness, kind-heartedness 
levity	 levity 
levity-gaiety	 cheery, gay, sunny 
levity-gaiety	 gaiety, playfulness 
levity-gaiety	 gay, festal, festive, merry 
like	 Handy, W._C._Handy, William_Christopher_Handy 
like	 New_York, New_York_City, Greater_New_York 
like	 Nice 
like	 Oklahoma, Sooner_State, OK 
like	 absolve, justify, free 
like	 accept 
like	 accept, consent, go_for 
like	 acceptable 
like	 accommodating, accommodative 
like	 accord 
like	 ace, A-one, crack, fantastic, first-rate, super, tiptop, topnotch, tops(p) 
like	 achiever, winner, success, succeeder 
like	 acquittal 
like	 adapt, accommodate 
like	 adequate 
like	 adequate, decent, enough 
like	 adequately 
like	 administrator, executive 
like	 admirable 
like	 admirable 
like	 admirably, laudably, praiseworthily, commendable 
like	 admiration, esteem 
like	 admire, look_up_to 
like	 admit, acknowledge 
like	 adroit, clever, ingenious 
like	 advantage, vantage 
like	 adventure, escapade, risky_venture, dangerous_undertaking 
like	 agreement, accord 
like	 all_right, fine, o.k., ok, okay, hunky-dory 
like	 amazing, awe-inspiring, awesome, awful, awing 
like	 amicability, amicableness 
like	 amicable 
like	 amicably 
like	 ample 
like	 amusing, comic, comical, funny, laughable, mirthful, risible 
like	 antic, fantastic, fantastical, grotesque 
like	 apologize, apologise, excuse, justify, rationalize, rationalise 
like	 appealing 
like	 applaudable, commendable, laudable, praiseworthy 
like	 appliance, contraption, contrivance, convenience, gadget, gizmo, gismo, widget 
like	 appreciate, apprize, apprise 
like	 appreciate, apprize, apprise, revalue 
like	 appreciate, take_account 
like	 appreciative 
like	 appreciatively, gratefully 
like	 appropriate 
like	 approval 
like	 approve 
like	 approve, O.K., okay, sanction 
like	 approved 
like	 approving, approbative, approbatory, plausive 
like	 apt, clever 
like	 artless 
like	 asset, plus 
like	 attentive 
like	 attract, appeal 
like	 attractive 
like	 available 
like	 avid, great, eager, zealous 
like	 award, accolade, honor, honour, laurels 
like	 award, awarding 
like	 bakery, bakeshop, bakehouse 
like	 balcony 
like	 bang-up, bully, corking, cracking, dandy, great, groovy, keen, neat, nifty, not_bad(p), peachy, slap-up, swell, smashing 
like	 beaded, beady, bejeweled, bejewelled, bespangled, gemmed, jeweled, jewelled, sequined, spangled, spangly 
like	 beautiful 
like	 beauty 
like	 begin, lead_off, start, commence 
like	 beguiled, captivated, charmed, delighted, enthralled, entranced 
like	 best 
like	 better, improve, ameliorate, meliorate 
like	 bewitching, captivating, enchanting, enthralling, entrancing, fascinating 
like	 bid, call 
like	 bikini, two-piece 
like	 bird's-eye, panoramic 
like	 bonus, incentive 
like	 bountiful, plentiful 
like	 brainy, brilliant, smart_as_a_whip 
like	 break_even 
like	 bright, brilliant 
like	 brilliant, glorious, magnificent, splendid 
like	 broad, spacious, wide 
like	 brotherhood 
like	 brotherly, brotherlike, fraternal 
like	 buy 
like	 buy, purchase 
like	 captivated, charmed 
like	 captivation, enchantment, enthrallment, fascination 
like	 capture, enamour, trance, catch, becharm, enamor, captivate, beguile, charm, fascinate, bewitch, entrance, enchant 
like	 carnival, fair, funfair 
like	 cash, hard_cash, hard_currency 
like	 castle 
like	 celebrate, fete 
like	 celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned 
like	 center, centre, middle, heart, eye 
like	 central 
like	 centrally 
like	 chant, intone, intonate, cantillate 
like	 charm, good_luck_charm 
like	 cheap, inexpensive 
like	 chic, smart, voguish 
like	 civil, polite 
like	 civilian 
like	 civilized, civilised, cultivated, cultured, genteel, polite 
like	 clean 
like	 clean 
like	 clean, clean-living 
like	 clean, make_clean 
like	 clean_and_jerk, clean 
like	 cleaning, cleansing, cleanup 
like	 cleanliness 
like	 cleanliness 
like	 cleanness 
like	 cleanse, clean 
like	 clear 
like	 clear 
like	 cleverly, smartly 
like	 close 
like	 colored, coloured, colorful 
like	 comfort 
like	 comfort, comfortableness 
like	 comfortable, comfy 
like	 commodity, trade_good, good 
like	 compatibility 
like	 compatible 
like	 compatible, sympathetic 
like	 compatibly 
like	 competent 
like	 concern 
like	 concern, interest, occupy, worry 
like	 concert 
like	 conclusion, end, close, closing, ending 
like	 congratulation, felicitation 
like	 consummate, masterful, masterly, virtuoso(a) 
like	 continue, uphold, carry_on, bear_on, preserve 
like	 convenient 
like	 courteous 
like	 crisp, frosty, nipping, nippy, snappy, parky 
like	 cunning, cute 
like	 dab, splash, splatter 
like	 decoration, ornament, ornamentation 
like	 deep, rich 
like	 deference, respect 
like	 delightful, delicious 
like	 dependable, honest, reliable, true(p) 
like	 design, pattern, figure 
like	 detailed, elaborate, elaborated 
like	 direct 
like	 discriminate, nice 
like	 dispose, incline 
like	 dollar 
like	 drollery, clowning, comedy, funniness 
like	 easy 
like	 education 
like	 education 
like	 education, instruction, teaching, pedagogy, didactics, educational_activity 
like	 efficient 
like	 emotional 
like	 empathic, empathetic 
like	 empathy 
like	 empty 
like	 enjoy 
like	 enormous, tremendous 
like	 epicurean, luxurious, luxuriant, sybaritic, voluptuary, voluptuous 
like	 equip, fit, fit_out, outfit 
like	 escape, get_away 
like	 exceeding, exceptional, olympian, prodigious, surpassing 
like	 excellent, first-class, fantabulous 
like	 exoticism, exoticness, exotism 
like	 extra, special 
like	 fabulous, mythic, mythical, mythologic, mythological 
like	 fame, celebrity, renown 
like	 family, household, house, home, menage 
like	 fast 
like	 fat, fertile, productive, rich 
like	 favor, favour 
like	 favor, favour 
like	 favorable, favourable 
like	 favorably, favourably 
like	 fine 
like	 finished 
like	 fondness, fancy, partiality 
like	 fortune 
like	 free 
like	 free, free_people 
like	 free, liberate, release, unloose, unloosen, loose 
like	 fresh 
like	 fresh, unused 
like	 friendliness 
like	 friendliness 
like	 friendly 
like	 friendly 
like	 friendly 
like	 functional 
like	 functional 
like	 functionally 
like	 genuine, true(a), unfeigned 
like	 gold, Au, atomic_number_79 
like	 good 
like	 good 
like	 good_will, goodwill 
like	 good_will, goodwill 
like	 graciously, gracefully 
like	 grateful, thankful 
like	 gratefulness, thankfulness, appreciativeness 
like	 gratitude 
like	 great 
like	 great 
like	 great 
like	 great, outstanding 
like	 greet, recognize, recognise 
like	 guarantee, warrant 
like	 handily, conveniently 
like	 handiness, accessibility, availability, availableness 
like	 handy 
like	 headliner, star 
like	 health, wellness 
like	 healthy 
like	 heated, heated_up, het, het_up 
like	 helpful 
like	 helpfulness 
like	 hero_worship 
like	 holiday 
like	 honorable, honourable 
like	 hospitable 
like	 hotness, heat, high_temperature 
like	 ideal 
like	 identify 
like	 idol, graven_image, god 
like	 idol, matinee_idol 
like	 illuminate 
like	 immaculate, speckless, spick-and-span, spic-and-span, spic, spick, spotless 
like	 inclination 
like	 inclined(p) 
like	 incredible, unbelievable 
like	 ingratitude, ungratefulness 
like	 inoffensive 
like	 interesting 
like	 intimate, knowledgeable, versed 
like	 jewel, gem, precious_stone 
like	 keenly 
like	 kindhearted, kind-hearted 
like	 kindheartedness, kind-heartedness 
like	 kindly 
like	 know 
like	 lavishness, luxury, sumptuosity, sumptuousness 
like	 leading(p), prima(p), star(p), starring(p), stellar(a) 
like	 leaky 
like	 legal 
like	 lengthen 
like	 libido 
like	 light 
like	 light 
like	 light 
like	 light, illume, illumine, light_up, illuminate 
like	 light, lightness 
like	 likable, likeable 
like	 like 
like	 like 
like	 liking 
like	 literate 
like	 literate 
like	 lively 
like	 lovable, loveable 
like	 low-cost, low-priced, affordable 
like	 luminosity, brightness, brightness_level, luminance, luminousness, light 
like	 lyric, lyric_poem 
like	 manage, deal, care, handle 
like	 mannequin, manikin, mannikin, manakin, fashion_model, model 
like	 masterpiece, chef-d'oeuvre 
like	 memorable 
like	 model, poser 
like	 modern 
like	 modern, modern_font, Bodoni, Bodoni_font 
like	 museum 
like	 music 
like	 nap, catnap, catch_a_wink 
like	 near, close, nigh 
like	 nearby 
like	 nearness, closeness 
like	 new 
like	 nice 
like	 nobility, nobleness, magnanimousness, grandeur 
like	 nonviolent 
like	 novel, refreshing 
like	 observe, celebrate, keep 
like	 observe, keep 
like	 offer, bid, tender 
like	 offer, proffer 
like	 opening 
like	 original 
like	 overhaul, modernize, modernise 
like	 pamper, featherbed, cosset, cocker, baby, coddle, mollycoddle, spoil, indulge 
like	 pastry 
like	 peace 
like	 perfect 
like	 perfective, perfective_tense, perfect, perfect_tense 
like	 perfectly 
like	 personable 
like	 personality 
like	 philogyny 
like	 pile, nap 
like	 plant, flora, plant_life 
like	 plaza, mall, center, shopping_mall, shopping_center, shopping_centre 
like	 pleasant 
like	 please, delight 
like	 pleased 
like	 pleasing 
like	 pleasure, pleasance 
like	 popular 
like	 preference, penchant, predilection, taste 
like	 preservation, saving 
like	 prime 
like	 prince 
like	 princess 
like	 privacy, privateness, seclusion 
like	 private 
like	 prize, award 
like	 professional 
like	 professional 
like	 professional, professional_person 
like	 professionally 
like	 profit, turn_a_profit 
like	 promenade 
like	 promote, upgrade, advance, kick_upstairs, raise, elevate 
like	 provocative 
like	 quick, ready 
like	 quiet 
like	 quiet 
like	 radiance, radiancy, shine, effulgence, refulgence, refulgency 
like	 ready 
like	 realistic 
like	 reasonable, sensible 
like	 recognition, identification 
like	 record, enter, put_down 
like	 refreshingly 
like	 relax, loosen_up, unbend, unwind, decompress, slow_down 
like	 relaxing, restful, reposeful 
like	 relief, ease 
like	 renewed 
like	 renovate, restitute 
like	 replenish, refill, fill_again 
like	 rescue, deliverance, delivery, saving 
like	 rested 
like	 retiring, unassuming 
like	 rhythm, beat, musical_rhythm 
like	 rich 
like	 rich 
like	 rich 
like	 rich 
like	 rich 
like	 rich 
like	 rich 
like	 rich_people, rich 
like	 right 
like	 sane 
like	 sanely 
like	 save, preserve 
like	 sensational 
like	 shaky, shivering, trembling 
like	 shine 
like	 shine, beam 
like	 shop, store 
like	 shopping 
like	 sightseeing, rubber-necking 
like	 sincere 
like	 skilled 
like	 sleep, nap 
like	 smart 
like	 smile 
like	 snappy, whipping 
like	 softhearted, soft-boiled 
like	 softheartedness, tenderness 
like	 solve, work_out, figure_out, puzzle_out, lick, work 
like	 spell, magic_spell, magical_spell, charm 
like	 star 
like	 star, principal, lead 
like	 strongly 
like	 succeed, win, come_through, bring_home_the_bacon, deliver_the_goods 
like	 sunlight, sunshine, sun 
like	 superior 
like	 sweet 
like	 sympathetic 
like	 sympathetically, empathetically 
like	 sympathy, fellow_feeling 
like	 take_office 
like	 tasty 
like	 team, squad 
like	 tenderness 
like	 tenderness, soreness, rawness 
like	 thank, give_thanks 
like	 thin, lean 
like	 thoughtful 
like	 tourism, touristry 
like	 trained 
like	 true 
like	 truth, true_statement 
like	 unangry(p) 
like	 unashamed 
like	 unmalicious 
like	 unresentful 
like	 unselfconscious 
like	 unselfconsciously 
like	 upgrade 
like	 useful, utile 
like	 vacuum, vacuum-clean, hoover 
like	 view, aspect, prospect, scene, vista, panorama 
like	 visit 
like	 warm 
like	 warm, warm_up 
like	 warmly, warm 
like	 waterfront 
like	 weakness 
like	 wedding, wedding_ceremony, nuptials, hymeneals 
like	 welcome 
like	 welcome 
like	 well, easily 
like	 well, good 
like	 wiggle, wriggle, squirm 
like	 willing 
like	 win 
like	 win 
like	 wish, care, like 
like	 wonderfully, wondrous, wondrously, superbly, toppingly, marvellously, terrifically, marvelously 
like	 worth 
like	 young, immature 
liking	 likable, likeable 
liking	 like 
liking	 like 
liking	 liking 
lividity	 livid 
lividity	 lividity 
lividity	 lividly 
lost-sorrow	 bereaved, bereft, grief-stricken, grieving, mourning(a), sorrowing(a) 
lost-sorrow	 pitying, sorry 
lost-sorrow	 sorrow 
lost-sorrow	 sorrowful 
love	 adorable, endearing, lovely 
love	 adorably, endearingly 
love	 adorably, endearingly 
love	 adoring, doting, fond 
love	 adoring, worshipful 
love	 affect, impress, move, strike 
love	 affection, affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia 
love	 affectional, affective, emotive 
love	 amative, amorous 
love	 amatory, amorous, romantic 
love	 amorousness, enamoredness 
love	 ardor, ardour 
love	 arousal 
love	 attachment, fond_regard 
love	 benefic 
love	 beneficed 
love	 beneficence 
love	 beneficent 
love	 beneficial, good, salutary 
love	 beneficially 
love	 benevolence 
love	 benevolently 
love	 boyfriend, fellow, beau, swain, young_man 
love	 breathless, breathtaking 
love	 brilliant, superb 
love	 caring, protective 
love	 charitable, benevolent, kindly, sympathetic, good-hearted, openhearted, large-hearted 
love	 charming, magic, magical, sorcerous, witching(a), wizard(a), wizardly 
love	 child, kid 
love	 cover_girl, pin-up, lovely 
love	 devoted 
love	 devotion, devotedness 
love	 elegance 
love	 embrace 
love	 embrace, bosom 
love	 embrace, embracing, embracement 
love	 familiar 
love	 familiar 
love	 fantastic, grand, howling(a), marvelous, marvellous, rattling(a), terrific, tremendous, wonderful, wondrous 
love	 fantastic, phenomenal 
love	 faultless, immaculate, impeccable 
love	 fondly, lovingly 
love	 fondly, lovingly 
love	 ideal 
love	 immaculately 
love	 love 
love	 love 
love	 love 
love	 love 
love	 love 
love	 love 
love	 love, enjoy 
love	 love, enjoy 
love	 lovely 
love	 lover 
love	 loving 
love	 loving 
love	 lovingness, caring 
love	 loyalty 
love	 luxury 
love	 neutral 
love	 positive 
love	 praise, congratulations, kudos, extolment 
love	 protectively, giving_protection, offering_protection 
love	 protectiveness 
love	 puppy_love, calf_love, crush, infatuation 
love	 regard, respect 
love	 romantic, romanticist, romanticistic 
love	 romanticist, romantic 
love	 sexual 
love	 soft_spot 
love	 son, boy 
love	 warmhearted 
love	 warmheartedness, warmth 
love	 worship, adoration 
love-ardor	 ardor, ardour 
lovingness	 lovingness, caring 
loyalty	 loyalty 
maleficence	 malefic, malevolent, malign, evil 
maleficence	 maleficence 
malevolence	 malevolence, malignity 
malevolence	 malevolently 
malice	 malevolent 
malice	 malice, maliciousness, spite, spitefulness, venom 
malice	 maliciously 
meekness	 meekness, submission 
melancholy	 melancholy 
melancholy	 melancholy, melancholic 
mercifulness	 merciful 
mercifulness	 mercifully 
mercifulness	 mercifulness, mercy 
misanthropy	 misanthropic, misanthropical 
misanthropy	 misanthropy 
misery	 hapless, miserable, misfortunate, pathetic, piteous, pitiable, pitiful, poor, wretched 
misery	 miserable, suffering, wretched 
misery	 miserably 
misery	 misery 
misocainea	 misocainea 
misogamy	 misogamy 
misogyny	 misogynic 
misogyny	 misogyny, misogynism 
misology	 misology 
misoneism	 misoneism 
misopedia	 misopedia 
mournfulness	 doleful, mournful 
mournfulness	 mournfully 
mournfulness	 mournfulness, sorrowfulness, ruthfulness 
murderousness	 amok, amuck, murderously 
murderousness	 murderousness 
nausea	 disgust, revolt, nauseate, sicken, churn_up 
nausea	 nausea 
nausea	 nauseated, nauseous, queasy, sick, sickish 
nausea	 nauseating, nauseous, noisome, queasy, loathsome, offensive, sickening, vile 
nausea	 sicken, nauseate, turn_one's_stomach 
negative-concern	 concern, care, fear 
negative-concern	 concerned 
negative-fear	 afraid(p) 
negative-fear	 fear 
negative-fear	 fear 
negative-fear	 fear 
negative-fear	 fear, dread 
negative-fear	 fear, fearfulness, fright 
negative-fear	 fearful 
negative-fear	 fearful, frightful 
negative-fear	 fearfully 
negative-suspense	 suspense 
neutral-languor	 dreamy, lackadaisical, languid, languorous 
neutral-languor	 languor, lassitude, listlessness 
neutral-languor	 languorously 
neutral-unconcern	 unconcern 
neutral-unconcern	 unconcerned 
neutral-unconcern	 unconcernedly 
oppression	 downtrodden 
oppression	 harass, hassle, harry, chivy, chivvy, chevy, chevvy, beset, plague, molest, provoke 
oppression	 laden, oppressed 
oppression	 oppression, oppressiveness 
oppression	 oppressive, tyrannical, tyrannous 
oppression	 oppressively 
optimism	 optimism 
optimism	 optimistic 
optimism	 optimistically 
panic	 panic 
panic	 panic 
panic	 panic, terror, affright 
panic	 panicky, panicked, panic-stricken, panic-struck, terrified, frightened 
peace	 peace, peacefulness, peace_of_mind, repose, serenity, heartsease, ataraxis 
peace	 peaceable, peace-loving 
peace	 peaceably, pacifically 
pensiveness	 brooding, broody, contemplative, meditative, musing, pensive, pondering, reflective, ruminative 
pensiveness	 pensive, wistful 
pensiveness	 pensively 
pensiveness	 pensiveness, brooding 
pessimism	 pessimism 
pessimism	 pessimistic 
pessimism	 pessimistically 
pique	 pique, offend 
pique	 pique, temper, irritation 
placidity	 placid, quiet, still, tranquil, smooth, unruffled 
placidity	 placidity, placidness 
placidity	 placidly 
plaintiveness	 mournful, plaintive 
plaintiveness	 plaintively 
plaintiveness	 plaintiveness 
positive-concern	 concern 
positive-concern	 concern, interest, occupy, worry 
positive-hope	 hope 
positive-languor	 languor, dreaminess 
positive-suspense	 cliff-hanging, suspenseful, suspensive, nail-biting 
positive-suspense	 suspense 
preference	 preference, penchant, predilection, taste 
presage	 presage 
protectiveness	 caring, protective 
protectiveness	 protectively, giving_protection, offering_protection 
protectiveness	 protectiveness 
puppy-love	 puppy_love, calf_love, crush, infatuation 
regard	 regard, respect 
regret-sorrow	 contrite, remorseful, rueful, ruthful 
regret-sorrow	 dolefully, sorrowfully 
regret-sorrow	 grieve, sorrow 
regret-sorrow	 regretful, sorry, bad 
regret-sorrow	 sorrow, regret, rue, ruefulness 
regret-sorrow	 sorrowfully 
rejoicing	 rejoice, joy 
rejoicing	 rejoicing 
repentance	 penitent, repentant 
repentance	 penitently, penitentially, repentantly 
repentance	 repent, regret, rue 
